ind_id,race_id,municipality,csd,province,first_name,last_name,party,votes_received,total_votes,incumbent,elected,acclaimed,gender,election_year,election_date,position,ward,source
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Davey,Wiggers,Independent,1707,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Lethbridge2021councillor99,Lethbridge,NA,AB,Ryan,Wolfe,Independent,7651,164920,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Brooks2021mayor99,Brooks,NA,AB,Norman,Gerestein,Independent,1162,2742,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,Brooks2021mayor99,Brooks,NA,AB,John,Petrie,Independent,1580,2742,0,1,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,Brooks2021councillor99,Brooks,NA,AB,Joel,Goodnough,Independent,1336,12436,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Brooks2021councillor99,Brooks,NA,AB,Mohammed,Idriss,Independent,1150,12436,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Brooks2021councillor99,Brooks,NA,AB,Fakhar,Islam,Independent,412,12436,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Brooks2021councillor99,Brooks,NA,AB,Ray,Juska,Independent,1117,12436,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Brooks2021councillor99,Brooks,NA,AB,Chris,Kenney,Independent,435,12436,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Brooks2021councillor99,Brooks,NA,AB,Grace,Miedema,Independent,744,12436,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Brooks2021councillor99,Brooks,NA,AB,Ryan,Mobbs,Independent,639,12436,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Brooks2021councillor99,Brooks,NA,AB,Jon,Nesbitt,Independent,1367,12436,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Brooks2021councillor99,Brooks,NA,AB,Bill,Prentice,Independent,1146,12436,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Brooks2021councillor99,Brooks,NA,AB,Mike,Regner,Independent,810,12436,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Brooks2021councillor99,Brooks,NA,AB,Jim,Third,Independent,1113,12436,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Brooks2021councillor99,Brooks,NA,AB,Marisssa,Wardrop,Independent,1213,12436,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Brooks2021councillor99,Brooks,NA,AB,Dave,Zukowki,Independent,954,12436,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Strathmore2021mayor99,Strathmore,NA,AB,Lorraine,Bauer,Independent,486,3594,0,0,0,F,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,Strathmore2021mayor99,Strathmore,NA,AB,Jason,Chase,Independent,95,3594,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,Strathmore2021mayor99,Strathmore,NA,AB,Patrick,Fule,Independent,2019,3594,1,1,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,Strathmore2021mayor99,Strathmore,NA,AB,Jason,Hollingsworth,Independent,994,3594,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,Strathmore2021councillor99,Strathmore,NA,AB,Brian,Cunningham,Independent,961,17039,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Strathmore2021councillor99,Strathmore,NA,AB,Nicole,Gibbons,Independent,1103,17039,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Strathmore2021councillor99,Strathmore,NA,AB,John,Hilton-O'Brien,Independent,1373,17039,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Strathmore2021councillor99,Strathmore,NA,AB,Ken,Kuenzi,Independent,1297,17039,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Strathmore2021councillor99,Strathmore,NA,AB,Melissa,Langmaid,Independent,1671,17039,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Strathmore2021councillor99,Strathmore,NA,AB,Debbie,Mitzner,Independent,1536,17039,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Strathmore2021councillor99,Strathmore,NA,AB,Jason,Montgomery,Independent,1544,17039,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Strathmore2021councillor99,Strathmore,NA,AB,Denise,Peterson,Independent,1672,17039,1,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Strathmore2021councillor99,Strathmore,NA,AB,Jacy,Rapke,Independent,1308,17039,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Strathmore2021councillor99,Strathmore,NA,AB,Kevin,Reynolds,Independent,604,17039,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Strathmore2021councillor99,Strathmore,NA,AB,Craig,Vandenberg,Independent,941,17039,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Strathmore2021councillor99,Strathmore,NA,AB,Richard,Wegener,Independent,1502,17039,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,Strathmore2021councillor99,Strathmore,NA,AB,Brent,Wiley,Independent,1527,17039,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,FoothillsNo.312021councillor1,Foothills No. 31,NA,AB,Robert,Siewert,Independent,NA,NA,1,1,1,M,2021,2021-10-18T00:00:00Z,councillor,1.0,Canadian Municipal Barometer
NA,FoothillsNo.312021councillor2,Foothills No. 31,NA,AB,Delilah,Miller,Independent,NA,NA,1,1,1,F,2021,2021-10-18T00:00:00Z,councillor,2.0,Canadian Municipal Barometer
NA,FoothillsNo.312021councillor3,Foothills No. 31,NA,AB,Hugo,Bonjean,Independent,177,878,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,3.0,Canadian Municipal Barometer
NA,FoothillsNo.312021councillor3,Foothills No. 31,NA,AB,Barbara,Castell,Independent,275,878,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,3.0,Canadian Municipal Barometer
NA,FoothillsNo.312021councillor3,Foothills No. 31,NA,AB,Laura,Kendall,Independent,224,878,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,3.0,Canadian Municipal Barometer
NA,FoothillsNo.312021councillor3,Foothills No. 31,NA,AB,Dan,MacDonald,Independent,202,878,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,3.0,Canadian Municipal Barometer
NA,FoothillsNo.312021councillor4,Foothills No. 31,NA,AB,Suzanne,Oel,Independent,NA,NA,1,1,1,F,2021,2021-10-18T00:00:00Z,councillor,4.0,Canadian Municipal Barometer
NA,FoothillsNo.312021councillor5,Foothills No. 31,NA,AB,Alan,Alger,Independent,NA,NA,1,1,1,M,2021,2021-10-18T00:00:00Z,councillor,5.0,Canadian Municipal Barometer
NA,FoothillsNo.312021councillor6,Foothills No. 31,NA,AB,John,Callister,Independent,215,708,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,6.0,Canadian Municipal Barometer
NA,FoothillsNo.312021councillor6,Foothills No. 31,NA,AB,Don,Waldorf,Independent,493,708,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,6.0,Canadian Municipal Barometer
NA,FoothillsNo.312021councillor7,Foothills No. 31,NA,AB,Wayne,Anderson,Independent,183,667,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,7.0,Canadian Municipal Barometer
NA,FoothillsNo.312021councillor7,Foothills No. 31,NA,AB,Janet,Andrusiw,Independent,116,667,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,7.0,Canadian Municipal Barometer
NA,FoothillsNo.312021councillor7,Foothills No. 31,NA,AB,Ronald,McHugh,Independent,368,667,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,7.0,Canadian Municipal Barometer
NA,HighRiver2021mayor99,High River,NA,AB,Jeff,Langford,Independent,1586,4212,0,0,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,HighRiver2021mayor99,High River,NA,AB,Craig L.,Snodgrass,Independent,2626,4212,1,1,0,M,2021,2021-10-18T00:00:00Z,mayor,99.0,Canadian Municipal Barometer
NA,HighRiver2021councillor99,High River,NA,AB,Jamie (James),Barton,Independent,1866,21591,0,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,HighRiver2021councillor99,High River,NA,AB,Ken,Bayliff,Independent,538,21591,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,HighRiver2021councillor99,High River,NA,AB,Terry,Coleman,Independent,1546,21591,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,HighRiver2021councillor99,High River,NA,AB,Dominick,Dodge,Independent,560,21591,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,HighRiver2021councillor99,High River,NA,AB,Deborah,Gauger,Independent,1529,21591,0,0,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,HighRiver2021councillor99,High River,NA,AB,Jenny,Jones,Independent,2255,21591,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,HighRiver2021councillor99,High River,NA,AB,Kelly Rianne,Killick-Smit,Independent,1860,21591,0,1,0,F,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,HighRiver2021councillor99,High River,NA,AB,Jamie,Kinghorn,Independent,2310,21591,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,HighRiver2021councillor99,High River,NA,AB,David,Moretta,Independent,1737,21591,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,HighRiver2021councillor99,High River,NA,AB,Michael,Nychyk,Independent,2409,21591,1,1,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,HighRiver2021councillor99,High River,NA,AB,Rylan John,Siggelkow,Independent,1704,21591,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
NA,HighRiver2021councillor99,High River,NA,AB,Monty,Stafford,Independent,1232,21591,0,0,0,M,2021,2021-10-18T00:00:00Z,councillor,99.0,Canadian Municipal Barometer
